location_id,year,month,rainfall_mm,drought_index,flood_risk
TAMIL NADU,1946,7,59.3,,
TAMIL NADU,1946,8,87.7,,
TAMIL NADU,1946,9,140.8,,
TAMIL NADU,1946,10,175.5,,
TAMIL NADU,1946,11,311.2,,
TAMIL NADU,1946,12,273.5,,
TAMIL NADU,1947,1,59.5,,
TAMIL NADU,1947,2,14.8,,
TAMIL NADU,1947,3,54.4,,
TAMIL NADU,1947,4,92.8,,
TAMIL NADU,1947,5,40.9,,
TAMIL NADU,1947,6,54.1,,
TAMIL NADU,1947,7,125.5,,
TAMIL NADU,1947,8,113.4,,
TAMIL NADU,1947,9,127.6,,
TAMIL NADU,1947,10,205.9,,
TAMIL NADU,1947,11,30.5,,
TAMIL NADU,1947,12,20.0,,
TAMIL NADU,1948,1,51.7,,
TAMIL NADU,1948,2,9.9,,
TAMIL NADU,1948,3,10.6,,
TAMIL NADU,1948,4,35.3,,
TAMIL NADU,1948,5,72.5,,
TAMIL NADU,1948,6,67.5,,
TAMIL NADU,1948,7,79.8,,
TAMIL NADU,1948,8,102.3,,
TAMIL NADU,1948,9,68.8,,
TAMIL NADU,1948,10,145.4,,
TAMIL NADU,1948,11,226.2,,
TAMIL NADU,1948,12,36.6,,
TAMIL NADU,1949,1,8.6,,
TAMIL NADU,1949,2,3.0,,
TAMIL NADU,1949,3,0.6,,
TAMIL NADU,1949,4,62.3,,
TAMIL NADU,1949,5,98.2,,
TAMIL NADU,1949,6,75.6,,
TAMIL NADU,1949,7,113.6,,
TAMIL NADU,1949,8,148.2,,
TAMIL NADU,1949,9,82.3,,
TAMIL NADU,1949,10,159.4,,
TAMIL NADU,1949,11,86.4,,
TAMIL NADU,1949,12,2.3,,
TAMIL NADU,1950,1,2.4,,
TAMIL NADU,1950,2,68.0,,
TAMIL NADU,1950,3,16.8,,
TAMIL NADU,1950,4,11.8,,
TAMIL NADU,1950,5,54.5,,
TAMIL NADU,1950,6,31.2,,
TAMIL NADU,1950,7,56.1,,
TAMIL NADU,1950,8,125.3,,
TAMIL NADU,1950,9,85.5,,
TAMIL NADU,1950,10,160.6,,
TAMIL NADU,1950,11,100.7,,
TAMIL NADU,1950,12,34.6,,
TAMIL NADU,1951,1,11.7,,
TAMIL NADU,1951,2,0.8,,
TAMIL NADU,1951,3,26.7,,
TAMIL NADU,1951,4,115.2,,
TAMIL NADU,1951,5,83.0,,
TAMIL NADU,1951,6,30.8,,
TAMIL NADU,1951,7,83.6,,
TAMIL NADU,1951,8,94.7,,
TAMIL NADU,1951,9,113.4,,
TAMIL NADU,1951,10,98.3,,
TAMIL NADU,1951,11,187.2,,
TAMIL NADU,1951,12,9.6,,
TAMIL NADU,1952,1,13.7,,
TAMIL NADU,1952,2,47.7,,
TAMIL NADU,1952,3,8.9,,
TAMIL NADU,1952,4,29.5,,
TAMIL NADU,1952,5,58.7,,
TAMIL NADU,1952,6,32.9,,
TAMIL NADU,1952,7,74.3,,
TAMIL NADU,1952,8,73.7,,
TAMIL NADU,1952,9,38.2,,
TAMIL NADU,1952,10,123.8,,
TAMIL NADU,1952,11,47.2,,
TAMIL NADU,1952,12,167.6,,
TAMIL NADU,1953,1,13.0,,
TAMIL NADU,1953,2,15.8,,
TAMIL NADU,1953,3,4.8,,
TAMIL NADU,1953,4,97.8,,
TAMIL NADU,1953,5,45.8,,
TAMIL NADU,1953,6,67.6,,
TAMIL NADU,1953,7,111.7,,
TAMIL NADU,1953,8,86.2,,
TAMIL NADU,1953,9,131.1,,
TAMIL NADU,1953,10,278.2,,
TAMIL NADU,1953,11,97.1,,
TAMIL NADU,1953,12,18.9,,
TAMIL NADU,1954,1,77.5,,
TAMIL NADU,1954,2,2.7,,
TAMIL NADU,1954,3,58.2,,
TAMIL NADU,1954,4,54.2,,
TAMIL NADU,1954,5,77.9,,
TAMIL NADU,1954,6,35.5,,
TAMIL NADU,1954,7,118.5,,
TAMIL NADU,1954,8,147.2,,
TAMIL NADU,1954,9,34.0,,
TAMIL NADU,1954,10,271.0,,
TAMIL NADU,1954,11,32.6,,
TAMIL NADU,1954,12,107.0,,
TAMIL NADU,1955,1,35.7,,
TAMIL NADU,1955,2,1.3,,
TAMIL NADU,1955,3,10.3,,
TAMIL NADU,1955,4,85.3,,
TAMIL NADU,1955,5,149.4,,
TAMIL NADU,1955,6,47.8,,
TAMIL NADU,1955,7,73.4,,
TAMIL NADU,1955,8,88.1,,
TAMIL NADU,1955,9,128.2,,
TAMIL NADU,1955,10,165.2,,
TAMIL NADU,1955,11,130.6,,
TAMIL NADU,1955,12,145.3,,
TAMIL NADU,1956,1,22.9,,
TAMIL NADU,1956,2,0.5,,
TAMIL NADU,1956,3,1.0,,
TAMIL NADU,1956,4,34.3,,
TAMIL NADU,1956,5,35.1,,
TAMIL NADU,1956,6,98.0,,
TAMIL NADU,1956,7,46.0,,
TAMIL NADU,1956,8,99.2,,
TAMIL NADU,1956,9,126.4,,
TAMIL NADU,1956,10,255.8,,
TAMIL NADU,1956,11,225.5,,
TAMIL NADU,1956,12,45.1,,
TAMIL NADU,1957,1,1.2,,
TAMIL NADU,1957,2,10.3,,
TAMIL NADU,1957,3,15.1,,
TAMIL NADU,1957,4,14.8,,
TAMIL NADU,1957,5,81.1,,
TAMIL NADU,1957,6,65.4,,
TAMIL NADU,1957,7,64.0,,
